############ [seed=1 1/4] ILCHO sigmoid -- 4000 ep ############ Wed, Sep  9, 2026  1:54:10 AM
replay buffer: 168 episodes (17.8 MB/episode)
C:\Users\84946\Documents\learning\6G_NTN\src\ilcho\train.py:127: RuntimeWarning: Mean of empty slice
  f"loss {np.nanmean(hist['loss'][w]):.4f} | "
ep     1 | eps 0.90 | return   -99.87 | HO   2.35 | HOF 65.96 | SE  2.06 | loss nan |      3s
ep  1125 | eps 0.40 | return   289.59 | HO   3.17 | HOF 49.58 | SE  2.18 | loss 0.0350 |   3578s
ep  1150 | eps 0.39 | return   317.74 | HO   3.80 | HOF 45.07 | SE  2.22 | loss 0.0418 |   3657s
ep  1175 | eps 0.38 | return   312.21 | HO   3.52 | HOF 45.94 | SE  2.21 | loss 0.0348 |   3737s
ep  1200 | eps 0.37 | return   308.43 | HO   3.45 | HOF 46.55 | SE  2.20 | loss 0.0341 |   3816s
ep  1225 | eps 0.36 | return   328.31 | HO   3.94 | HOF 43.27 | SE  2.23 | loss 0.0373 |   3896s
ep  1250 | eps 0.34 | return   327.50 | HO   3.78 | HOF 43.47 | SE  2.22 | loss 0.0323 |   3976s
ep  1275 | eps 0.33 | return   334.87 | HO   3.92 | HOF 42.29 | SE  2.23 | loss 0.0323 |   4055s
ep  1300 | eps 0.32 | return   332.90 | HO   3.78 | HOF 42.72 | SE  2.23 | loss 0.0302 |   4136s
ep  1325 | eps 0.31 | return   340.23 | HO   3.90 | HOF 41.55 | SE  2.24 | loss 0.0290 |   4215s
ep  1350 | eps 0.30 | return   345.03 | HO   3.99 | HOF 40.58 | SE  2.24 | loss 0.0276 |   4295s
ep  1375 | eps 0.29 | return   349.36 | HO   4.15 | HOF 39.72 | SE  2.25 | loss 0.0262 |   4375s
ep  1400 | eps 0.28 | return   353.59 | HO   3.95 | HOF 39.28 | SE  2.25 | loss 0.0260 |   4454s
ep  1425 | eps 0.27 | return   361.42 | HO   3.99 | HOF 38.08 | SE  2.26 | loss 0.0242 |   4534s
ep  1450 | eps 0.26 | return   364.30 | HO   4.01 | HOF 37.59 | SE  2.26 | loss 0.0239 |   4614s
ep  1475 | eps 0.24 | return   371.72 | HO   4.00 | HOF 36.40 | SE  2.27 | loss 0.0231 |   4694s
ep  1500 | eps 0.23 | return   378.64 | HO   4.13 | HOF 35.29 | SE  2.28 | loss 0.0225 |   4774s
ep  1525 | eps 0.22 | return   383.61 | HO   4.20 | HOF 34.29 | SE  2.28 | loss 0.0218 |   4854s
ep  1550 | eps 0.21 | return   394.57 | HO   4.16 | HOF 32.58 | SE  2.30 | loss 0.0208 |   4933s
ep  1575 | eps 0.20 | return   400.35 | HO   4.24 | HOF 31.52 | SE  2.30 | loss 0.0203 |   5013s
ep  1600 | eps 0.19 | return   408.66 | HO   4.42 | HOF 30.04 | SE  2.31 | loss 0.0197 |   5092s
ep  1625 | eps 0.18 | return   416.40 | HO   4.36 | HOF 28.90 | SE  2.32 | loss 0.0190 |   5172s
ep  1650 | eps 0.17 | return   425.12 | HO   4.34 | HOF 27.52 | SE  2.33 | loss 0.0183 |   5251s
ep  1675 | eps 0.16 | return   432.10 | HO   4.51 | HOF 26.32 | SE  2.34 | loss 0.0175 |   5332s
ep  1700 | eps 0.14 | return   441.24 | HO   4.56 | HOF 24.88 | SE  2.35 | loss 0.0165 |   5411s
ep  1725 | eps 0.13 | return   448.39 | HO   4.47 | HOF 23.59 | SE  2.35 | loss 0.0161 |   5491s
ep  1750 | eps 0.12 | return   456.62 | HO   4.55 | HOF 22.29 | SE  2.36 | loss 0.0152 |   5570s
ep  1775 | eps 0.11 | return   464.27 | HO   4.53 | HOF 21.26 | SE  2.37 | loss 0.0146 |   5650s
ep  1800 | eps 0.10 | return   472.86 | HO   4.59 | HOF 19.49 | SE  2.38 | loss 0.0142 |   5729s
ep  1825 | eps 0.10 | return   480.28 | HO   4.55 | HOF 18.48 | SE  2.39 | loss 0.0132 |   5809s
ep  1850 | eps 0.10 | return   478.75 | HO   4.57 | HOF 18.62 | SE  2.39 | loss 0.0122 |   5888s
ep  1875 | eps 0.10 | return   479.90 | HO   4.58 | HOF 18.40 | SE  2.39 | loss 0.0120 |   5968s
ep  1900 | eps 0.10 | return   480.51 | HO   4.49 | HOF 18.23 | SE  2.39 | loss 0.0114 |   6048s
ep  1925 | eps 0.10 | return   480.01 | HO   4.51 | HOF 18.51 | SE  2.38 | loss 0.0110 |   6127s
ep  1950 | eps 0.10 | return   480.38 | HO   4.51 | HOF 18.34 | SE  2.39 | loss 0.0106 |   6207s
ep  1975 | eps 0.10 | return   481.19 | HO   4.57 | HOF 18.07 | SE  2.38 | loss 0.0104 |   6286s
ep  2000 | eps 0.10 | return   481.86 | HO   4.66 | HOF 17.96 | SE  2.39 | loss 0.0102 |   6365s
ep  2025 | eps 0.10 | return   482.73 | HO   4.45 | HOF 17.97 | SE  2.39 | loss 0.0101 |   6445s
ep  2050 | eps 0.10 | return   482.30 | HO   4.45 | HOF 18.33 | SE  2.39 | loss 0.0099 |   6524s
ep  2075 | eps 0.10 | return   483.82 | HO   4.33 | HOF 17.93 | SE  2.39 | loss 0.0099 |   6604s
ep  2100 | eps 0.10 | return   480.62 | HO   4.48 | HOF 18.18 | SE  2.39 | loss 0.0099 |   6683s
ep  2125 | eps 0.10 | return   483.32 | HO   4.43 | HOF 17.74 | SE  2.39 | loss 0.0096 |   6763s
ep  2150 | eps 0.10 | return   483.13 | HO   4.36 | HOF 17.96 | SE  2.39 | loss 0.0099 |   6842s
ep  2175 | eps 0.10 | return   483.28 | HO   4.43 | HOF 17.83 | SE  2.39 | loss 0.0096 |   6922s
ep  2200 | eps 0.10 | return   484.13 | HO   4.31 | HOF 17.89 | SE  2.39 | loss 0.0095 |   7001s
ep  2225 | eps 0.10 | return   483.09 | HO   4.41 | HOF 18.02 | SE  2.39 | loss 0.0094 |   7080s
ep  2250 | eps 0.10 | return   483.79 | HO   4.34 | HOF 17.88 | SE  2.39 | loss 0.0091 |   7160s
ep  2275 | eps 0.10 | return   482.84 | HO   4.30 | HOF 18.11 | SE  2.39 | loss 0.0091 |   7239s
ep  2300 | eps 0.10 | return   484.52 | HO   4.31 | HOF 17.85 | SE  2.39 | loss 0.0090 |   7319s
ep  2325 | eps 0.10 | return   483.55 | HO   4.39 | HOF 17.70 | SE  2.39 | loss 0.0090 |   7398s
ep  2350 | eps 0.10 | return   484.44 | HO   4.44 | HOF 17.63 | SE  2.39 | loss 0.0088 |   7478s
ep  2375 | eps 0.10 | return   485.43 | HO   4.25 | HOF 17.79 | SE  2.40 | loss 0.0090 |   7558s
ep  2400 | eps 0.10 | return   483.58 | HO   4.50 | HOF 17.71 | SE  2.39 | loss 0.0087 |   7637s
ep  2425 | eps 0.10 | return   484.24 | HO   4.40 | HOF 17.79 | SE  2.39 | loss 0.0090 |   7716s
ep  2450 | eps 0.10 | return   485.13 | HO   4.43 | HOF 17.61 | SE  2.39 | loss 0.0087 |   7796s
ep  2475 | eps 0.10 | return   485.22 | HO   4.37 | HOF 17.69 | SE  2.39 | loss 0.0086 |   7875s
ep  2500 | eps 0.10 | return   483.98 | HO   4.31 | HOF 17.67 | SE  2.39 | loss 0.0088 |   7955s
ep  2525 | eps 0.10 | return   485.15 | HO   4.38 | HOF 17.53 | SE  2.40 | loss 0.0085 |   8034s
ep  2550 | eps 0.10 | return   484.74 | HO   4.32 | HOF 17.80 | SE  2.39 | loss 0.0086 |   8114s
ep  2575 | eps 0.10 | return   483.92 | HO   4.46 | HOF 17.82 | SE  2.39 | loss 0.0087 |   8193s
ep  2600 | eps 0.10 | return   484.33 | HO   4.28 | HOF 17.72 | SE  2.39 | loss 0.0086 |   8273s
ep  2625 | eps 0.10 | return   485.06 | HO   4.28 | HOF 17.74 | SE  2.39 | loss 0.0087 |   8352s
ep  2650 | eps 0.10 | return   483.54 | HO   4.29 | HOF 17.86 | SE  2.39 | loss 0.0086 |   8432s
ep  2675 | eps 0.10 | return   484.54 | HO   4.24 | HOF 17.84 | SE  2.39 | loss 0.0085 |   8511s
ep  2700 | eps 0.10 | return   484.32 | HO   4.31 | HOF 17.63 | SE  2.39 | loss 0.0084 |   8591s
ep  2725 | eps 0.10 | return   484.51 | HO   4.33 | HOF 17.75 | SE  2.39 | loss 0.0085 |   8673s
ep  2750 | eps 0.10 | return   484.24 | HO   4.32 | HOF 17.76 | SE  2.39 | loss 0.0083 |   8752s
ep  2775 | eps 0.10 | return   485.04 | HO   4.29 | HOF 17.75 | SE  2.40 | loss 0.0085 |   8832s
ep  2800 | eps 0.10 | return   483.95 | HO   4.37 | HOF 17.61 | SE  2.39 | loss 0.0083 |   8911s
ep  2825 | eps 0.10 | return   484.88 | HO   4.28 | HOF 17.81 | SE  2.39 | loss 0.0084 |   8991s
ep  2850 | eps 0.10 | return   484.73 | HO   4.25 | HOF 17.90 | SE  2.39 | loss 0.0085 |   9070s
ep  2875 | eps 0.10 | return   484.74 | HO   4.26 | HOF 17.65 | SE  2.39 | loss 0.0088 |   9150s
ep  2900 | eps 0.10 | return   484.23 | HO   4.20 | HOF 17.73 | SE  2.39 | loss 0.0084 |   9229s
ep  2925 | eps 0.10 | return   484.82 | HO   4.22 | HOF 17.65 | SE  2.39 | loss 0.0082 |   9309s
ep  2950 | eps 0.10 | return   483.33 | HO   4.29 | HOF 17.78 | SE  2.39 | loss 0.0082 |   9389s
ep  2975 | eps 0.10 | return   485.34 | HO   4.27 | HOF 17.49 | SE  2.39 | loss 0.0083 |   9468s
ep  3000 | eps 0.10 | return   485.71 | HO   4.23 | HOF 17.49 | SE  2.40 | loss 0.0082 |   9548s
saved -> gpu100_repro/runs/g100_ilcho_linear_seed1  (9548s)
############ [seed=1 3/4] LBSH (IQL) -- 3000 ep ############ Wed, Sep  9, 2026  8:03:33 AM
replay buffer: 168 episodes (17.8 MB/episode)
C:\Users\84946\Documents\learning\6G_NTN\src\ilcho\train.py:127: RuntimeWarning: Mean of empty slice
  f"loss {np.nanmean(hist['loss'][w]):.4f} | "
ep     1 | eps 0.90 | return   201.38 | HO   2.35 | HOF 65.96 | SE  2.06 | loss nan |      3s
ep    25 | eps 0.89 | return   199.94 | HO   2.43 | HOF 65.98 | SE  2.06 | loss 5.6714 |     77s
ep    50 | eps 0.88 | return   204.82 | HO   2.44 | HOF 65.47 | SE  2.07 | loss 5.5541 |    155s
ep    75 | eps 0.87 | return   221.15 | HO   2.89 | HOF 62.88 | SE  2.08 | loss 5.3197 |    234s
ep   100 | eps 0.86 | return   223.98 | HO   2.94 | HOF 62.48 | SE  2.08 | loss 5.0455 |    312s
ep   125 | eps 0.84 | return   227.15 | HO   3.08 | HOF 61.77 | SE  2.09 | loss 4.7760 |    391s
ep   150 | eps 0.83 | return   231.30 | HO   2.97 | HOF 61.50 | SE  2.09 | loss 4.6170 |    471s
ep   175 | eps 0.82 | return   235.54 | HO   2.97 | HOF 61.06 | SE  2.09 | loss 4.5350 |    550s
ep   200 | eps 0.81 | return   236.16 | HO   3.13 | HOF 60.65 | SE  2.10 | loss 4.4574 |    630s
ep   225 | eps 0.80 | return   239.73 | HO   3.11 | HOF 60.23 | SE  2.10 | loss 4.3715 |    710s
ep   250 | eps 0.79 | return   243.05 | HO   3.23 | HOF 59.57 | SE  2.10 | loss 4.3251 |    790s
ep   275 | eps 0.78 | return   244.25 | HO   3.15 | HOF 59.64 | SE  2.10 | loss 4.2555 |    869s
ep   300 | eps 0.77 | return   250.77 | HO   3.16 | HOF 58.74 | SE  2.11 | loss 4.1863 |    949s
ep   325 | eps 0.76 | return   248.74 | HO   3.12 | HOF 59.12 | SE  2.11 | loss 4.0842 |   1029s
ep   350 | eps 0.74 | return   252.58 | HO   3.02 | HOF 58.79 | SE  2.11 | loss 3.9455 |   1108s
ep   375 | eps 0.73 | return   253.98 | HO   3.08 | HOF 58.60 | SE  2.12 | loss 3.8212 |   1188s
ep   400 | eps 0.72 | return   257.58 | HO   3.27 | HOF 57.67 | SE  2.12 | loss 3.7046 |   1268s
ep   425 | eps 0.71 | return   262.90 | HO   3.27 | HOF 56.97 | SE  2.12 | loss 3.5968 |   1348s
ep   450 | eps 0.70 | return   264.70 | HO   3.33 | HOF 56.67 | SE  2.12 | loss 3.5152 |   1428s
ep   475 | eps 0.69 | return   266.59 | HO   3.33 | HOF 56.40 | SE  2.12 | loss 3.4371 |   1508s
ep   500 | eps 0.68 | return   270.51 | HO   3.34 | HOF 55.87 | SE  2.13 | loss 3.3387 |   1588s
ep   525 | eps 0.67 | return   272.23 | HO   3.46 | HOF 55.54 | SE  2.13 | loss 3.2278 |   1668s
ep   550 | eps 0.66 | return   277.44 | HO   3.47 | HOF 54.67 | SE  2.14 | loss 3.1367 |   1748s
ep   575 | eps 0.64 | return   279.14 | HO   3.49 | HOF 54.43 | SE  2.14 | loss 3.0786 |   1828s
ep   600 | eps 0.63 | return   282.55 | HO   3.50 | HOF 54.12 | SE  2.14 | loss 3.0213 |   1908s
ep   625 | eps 0.62 | return   285.90 | HO   3.56 | HOF 53.45 | SE  2.15 | loss 2.9707 |   1988s
ep   650 | eps 0.61 | return   289.21 | HO   3.55 | HOF 52.93 | SE  2.15 | loss 2.9194 |   2069s
ep   675 | eps 0.60 | return   293.06 | HO   3.58 | HOF 52.34 | SE  2.16 | loss 2.8718 |   2149s
ep   700 | eps 0.59 | return   294.96 | HO   3.54 | HOF 52.18 | SE  2.15 | loss 2.8114 |   2230s
ep   725 | eps 0.58 | return   298.56 | HO   3.72 | HOF 51.43 | SE  2.16 | loss 2.7780 |   2308s
ep   750 | eps 0.57 | return   302.73 | HO   3.62 | HOF 51.16 | SE  2.16 | loss 2.7438 |   2386s
ep   775 | eps 0.56 | return   304.64 | HO   3.64 | HOF 50.78 | SE  2.17 | loss 2.6835 |   2464s
ep   800 | eps 0.54 | return   309.14 | HO   3.63 | HOF 50.36 | SE  2.17 | loss 2.6489 |   2542s
ep   825 | eps 0.53 | return   314.56 | HO   3.76 | HOF 49.40 | SE  2.17 | loss 2.6104 |   2620s
ep   850 | eps 0.52 | return   319.15 | HO   3.73 | HOF 48.77 | SE  2.18 | loss 2.5753 |   2698s
ep   875 | eps 0.51 | return   324.68 | HO   3.84 | HOF 47.91 | SE  2.19 | loss 2.5187 |   2777s
ep   900 | eps 0.50 | return   325.55 | HO   3.86 | HOF 47.85 | SE  2.19 | loss 2.4851 |   2856s
ep   925 | eps 0.49 | return   331.15 | HO   3.88 | HOF 47.12 | SE  2.19 | loss 2.4412 |   2934s
ep   950 | eps 0.48 | return   334.37 | HO   3.97 | HOF 46.54 | SE  2.20 | loss 2.3836 |   3013s
ep   975 | eps 0.47 | return   336.92 | HO   3.93 | HOF 46.09 | SE  2.20 | loss 2.3398 |   3091s
ep  1000 | eps 0.46 | return   344.01 | HO   3.94 | HOF 45.21 | SE  2.21 | loss 2.2924 |   3169s
ep  1025 | eps 0.44 | return   346.92 | HO   4.06 | HOF 44.65 | SE  2.21 | loss 2.2440 |   3247s
ep  1050 | eps 0.43 | return   351.34 | HO   4.06 | HOF 43.97 | SE  2.21 | loss 2.1993 |   3326s
ep  1075 | eps 0.42 | return   354.77 | HO   4.05 | HOF 43.62 | SE  2.21 | loss 2.1615 |   3404s
ep  1100 | eps 0.41 | return   359.55 | HO   4.06 | HOF 42.78 | SE  2.22 | loss 2.1112 |   3483s
ep  1125 | eps 0.40 | return   363.97 | HO   4.10 | HOF 42.24 | SE  2.22 | loss 2.0596 |   3562s
ep  1150 | eps 0.39 | return   368.77 | HO   4.18 | HOF 41.36 | SE  2.23 | loss 2.0234 |   3640s
ep  1175 | eps 0.38 | return   374.64 | HO   4.16 | HOF 40.68 | SE  2.24 | loss 1.9746 |   3719s
ep  1200 | eps 0.37 | return   379.47 | HO   4.12 | HOF 40.11 | SE  2.24 | loss 1.9166 |   3798s
ep  1225 | eps 0.36 | return   381.95 | HO   4.41 | HOF 39.23 | SE  2.24 | loss 1.8780 |   3876s
ep  1250 | eps 0.34 | return   387.14 | HO   4.42 | HOF 38.55 | SE  2.25 | loss 1.8303 |   3954s
ep  1275 | eps 0.33 | return   392.00 | HO   4.36 | HOF 37.86 | SE  2.26 | loss 1.7704 |   4033s
ep  1300 | eps 0.32 | return   400.06 | HO   4.35 | HOF 37.03 | SE  2.26 | loss 1.7186 |   4112s
ep  1325 | eps 0.31 | return   404.43 | HO   4.36 | HOF 36.47 | SE  2.27 | loss 1.6777 |   4190s
ep  1350 | eps 0.30 | return   408.57 | HO   4.37 | HOF 35.72 | SE  2.27 | loss 1.6137 |   4268s
ep  1375 | eps 0.29 | return   414.75 | HO   4.51 | HOF 34.69 | SE  2.28 | loss 1.5747 |   4346s
ep  1400 | eps 0.28 | return   421.64 | HO   4.39 | HOF 33.90 | SE  2.28 | loss 1.5262 |   4425s
ep  1425 | eps 0.27 | return   427.82 | HO   4.32 | HOF 33.28 | SE  2.29 | loss 1.4748 |   4503s
ep  1450 | eps 0.26 | return   433.14 | HO   4.39 | HOF 32.42 | SE  2.29 | loss 1.4386 |   4581s
ep  1475 | eps 0.24 | return   441.05 | HO   4.37 | HOF 31.43 | SE  2.30 | loss 1.3911 |   4660s
ep  1500 | eps 0.23 | return   445.71 | HO   4.54 | HOF 30.36 | SE  2.30 | loss 1.3330 |   4738s
ep  1525 | eps 0.22 | return   451.97 | HO   4.67 | HOF 29.27 | SE  2.32 | loss 1.2832 |   4817s
ep  1550 | eps 0.21 | return   459.48 | HO   4.70 | HOF 28.21 | SE  2.32 | loss 1.2299 |   4896s
ep  1575 | eps 0.20 | return   464.74 | HO   4.59 | HOF 27.51 | SE  2.33 | loss 1.1770 |   4974s
ep  1600 | eps 0.19 | return   471.09 | HO   4.68 | HOF 26.47 | SE  2.33 | loss 1.1214 |   5053s
ep  1625 | eps 0.18 | return   479.59 | HO   4.55 | HOF 25.52 | SE  2.34 | loss 1.0827 |   5132s
ep  1650 | eps 0.17 | return   483.94 | HO   4.60 | HOF 24.75 | SE  2.34 | loss 1.0257 |   5211s
ep  1675 | eps 0.16 | return   493.77 | HO   4.64 | HOF 23.45 | SE  2.35 | loss 0.9783 |   5290s
ep  1700 | eps 0.14 | return   502.15 | HO   4.68 | HOF 22.27 | SE  2.36 | loss 0.9325 |   5369s
ep  1725 | eps 0.13 | return   507.98 | HO   4.71 | HOF 21.15 | SE  2.36 | loss 0.8986 |   5447s
ep  1750 | eps 0.12 | return   515.21 | HO   4.94 | HOF 19.79 | SE  2.37 | loss 0.8374 |   5526s
ep  1775 | eps 0.11 | return   525.93 | HO   4.91 | HOF 18.71 | SE  2.38 | loss 0.7826 |   5604s
ep  1800 | eps 0.10 | return   532.99 | HO   4.94 | HOF 17.23 | SE  2.39 | loss 0.7520 |   5682s
ep  1825 | eps 0.10 | return   537.45 | HO   4.95 | HOF 16.60 | SE  2.39 | loss 0.6895 |   5761s
ep  1850 | eps 0.10 | return   535.65 | HO   5.02 | HOF 16.71 | SE  2.39 | loss 0.6370 |   5839s
ep  1875 | eps 0.10 | return   536.65 | HO   4.91 | HOF 16.69 | SE  2.39 | loss 0.6092 |   5919s
ep  1900 | eps 0.10 | return   537.56 | HO   4.75 | HOF 16.66 | SE  2.40 | loss 0.5714 |   5997s
ep  1925 | eps 0.10 | return   539.90 | HO   4.73 | HOF 16.92 | SE  2.39 | loss 0.5573 |   6076s
ep  1950 | eps 0.10 | return   538.89 | HO   4.64 | HOF 16.93 | SE  2.39 | loss 0.5367 |   6155s
ep  1975 | eps 0.10 | return   539.85 | HO   4.62 | HOF 16.80 | SE  2.39 | loss 0.5293 |   6234s
ep  2000 | eps 0.10 | return   538.72 | HO   4.61 | HOF 16.91 | SE  2.39 | loss 0.5261 |   6313s
ep  2025 | eps 0.10 | return   540.12 | HO   4.59 | HOF 16.93 | SE  2.39 | loss 0.5215 |   6392s
ep  2050 | eps 0.10 | return   542.75 | HO   4.50 | HOF 17.15 | SE  2.40 | loss 0.5200 |   6470s
ep  2075 | eps 0.10 | return   542.53 | HO   4.39 | HOF 16.87 | SE  2.40 | loss 0.5145 |   6549s
ep  2100 | eps 0.10 | return   537.79 | HO   4.57 | HOF 17.01 | SE  2.39 | loss 0.5116 |   6629s
ep  2125 | eps 0.10 | return   537.62 | HO   4.38 | HOF 16.93 | SE  2.40 | loss 0.5048 |   6707s
ep  2150 | eps 0.10 | return   538.84 | HO   4.28 | HOF 17.11 | SE  2.40 | loss 0.5013 |   6786s
ep  2175 | eps 0.10 | return   537.21 | HO   4.40 | HOF 16.98 | SE  2.40 | loss 0.4971 |   6865s
ep  2200 | eps 0.10 | return   539.94 | HO   4.30 | HOF 17.06 | SE  2.40 | loss 0.4943 |   6944s
ep  2225 | eps 0.10 | return   538.06 | HO   4.53 | HOF 17.08 | SE  2.39 | loss 0.4907 |   7023s
ep  2250 | eps 0.10 | return   540.20 | HO   4.59 | HOF 16.98 | SE  2.39 | loss 0.4879 |   7101s
ep  2275 | eps 0.10 | return   538.79 | HO   4.49 | HOF 17.24 | SE  2.39 | loss 0.4881 |   7180s
ep  2300 | eps 0.10 | return   536.16 | HO   4.51 | HOF 17.25 | SE  2.39 | loss 0.4878 |   7258s
ep  2325 | eps 0.10 | return   536.22 | HO   4.44 | HOF 16.99 | SE  2.40 | loss 0.4858 |   7337s
ep  2350 | eps 0.10 | return   539.11 | HO   4.37 | HOF 16.99 | SE  2.40 | loss 0.4826 |   7415s
ep  2375 | eps 0.10 | return   538.89 | HO   4.36 | HOF 17.04 | SE  2.40 | loss 0.4805 |   7493s
ep  2400 | eps 0.10 | return   538.48 | HO   4.38 | HOF 17.10 | SE  2.40 | loss 0.4737 |   7572s
ep  2425 | eps 0.10 | return   538.05 | HO   4.42 | HOF 17.15 | SE  2.40 | loss 0.4745 |   7651s
ep  2450 | eps 0.10 | return   539.97 | HO   4.35 | HOF 16.90 | SE  2.40 | loss 0.4702 |   7729s
ep  2475 | eps 0.10 | return   539.21 | HO   4.38 | HOF 16.90 | SE  2.40 | loss 0.4684 |   7807s
ep  2500 | eps 0.10 | return   539.89 | HO   4.37 | HOF 16.97 | SE  2.40 | loss 0.4670 |   7887s
ep  2525 | eps 0.10 | return   537.66 | HO   4.40 | HOF 16.99 | SE  2.39 | loss 0.4643 |   7965s
ep  2550 | eps 0.10 | return   537.14 | HO   4.38 | HOF 17.26 | SE  2.39 | loss 0.4600 |   8043s
ep  2575 | eps 0.10 | return   538.47 | HO   4.37 | HOF 17.23 | SE  2.39 | loss 0.4590 |   8122s
ep  2600 | eps 0.10 | return   538.62 | HO   4.39 | HOF 16.99 | SE  2.40 | loss 0.4560 |   8200s
ep  2625 | eps 0.10 | return   539.65 | HO   4.39 | HOF 16.87 | SE  2.40 | loss 0.4544 |   8279s
ep  2650 | eps 0.10 | return   537.95 | HO   4.37 | HOF 17.05 | SE  2.40 | loss 0.4543 |   8357s
ep  2675 | eps 0.10 | return   537.97 | HO   4.34 | HOF 17.10 | SE  2.40 | loss 0.4523 |   8436s
ep  2700 | eps 0.10 | return   537.52 | HO   4.32 | HOF 16.99 | SE  2.40 | loss 0.4533 |   8515s
ep  2725 | eps 0.10 | return   538.83 | HO   4.29 | HOF 17.04 | SE  2.40 | loss 0.4534 |   8593s
ep  2750 | eps 0.10 | return   539.57 | HO   4.36 | HOF 16.93 | SE  2.40 | loss 0.4481 |   8672s
ep  2775 | eps 0.10 | return   539.51 | HO   4.41 | HOF 16.89 | SE  2.40 | loss 0.4482 |   8751s
ep  2800 | eps 0.10 | return   538.00 | HO   4.49 | HOF 16.71 | SE  2.40 | loss 0.4466 |   8830s
ep  2825 | eps 0.10 | return   538.27 | HO   4.38 | HOF 17.02 | SE  2.40 | loss 0.4466 |   8908s
ep  2850 | eps 0.10 | return   541.84 | HO   4.36 | HOF 17.02 | SE  2.40 | loss 0.4432 |   8988s
ep  2875 | eps 0.10 | return   537.20 | HO   4.47 | HOF 16.94 | SE  2.40 | loss 0.4450 |   9066s
ep  2900 | eps 0.10 | return   538.70 | HO   4.41 | HOF 16.85 | SE  2.40 | loss 0.4418 |   9145s
ep  2925 | eps 0.10 | return   538.65 | HO   4.43 | HOF 16.89 | SE  2.39 | loss 0.4417 |   9224s
ep  2950 | eps 0.10 | return   536.59 | HO   4.42 | HOF 16.87 | SE  2.40 | loss 0.4438 |   9303s
ep  2975 | eps 0.10 | return   536.74 | HO   4.46 | HOF 16.79 | SE  2.40 | loss 0.4390 |   9382s
ep  3000 | eps 0.10 | return   536.21 | HO   4.38 | HOF 16.87 | SE  2.40 | loss 0.4369 |   9461s
saved -> gpu100_repro/runs/g100_lbsh_seed1  (9461s)
############ [seed=1 4/4] eval Phase 2-a ############ Wed, Sep  9, 2026 10:41:18 AM
methods: ['ILCHO', 'ILCHO-lin', 'MD-CHO', 'MVT-CHO', 'HSNF', 'LBSH']
ILCHO      starlink_phase_2a  UE=  5 | ho   9.867 | hof   0.133 | se   2.453 | jfi   0.995 | occ_var   0.007
ILCHO      starlink_phase_2a  UE= 20 | ho  10.011 | hof   0.167 | se   2.467 | jfi   0.995 | occ_var   0.039
ILCHO      starlink_phase_2a  UE= 40 | ho   9.125 | hof   0.397 | se   2.475 | jfi   0.995 | occ_var   0.079
ILCHO      starlink_phase_2a  UE= 70 | ho   7.410 | hof   1.598 | se   2.461 | jfi   0.995 | occ_var   0.129
ILCHO      starlink_phase_2a  UE=100 | ho   4.291 | hof   4.414 | se   2.484 | jfi   0.994 | occ_var   0.142
ILCHO-lin  starlink_phase_2a  UE=  5 | ho  10.822 | hof   0.022 | se   2.520 | jfi   0.993 | occ_var   0.006
ILCHO-lin  starlink_phase_2a  UE= 20 | ho  10.050 | hof   0.089 | se   2.516 | jfi   0.994 | occ_var   0.034
ILCHO-lin  starlink_phase_2a  UE= 40 | ho   9.258 | hof   0.347 | se   2.479 | jfi   0.994 | occ_var   0.078
ILCHO-lin  starlink_phase_2a  UE= 70 | ho   7.460 | hof   1.776 | se   2.451 | jfi   0.995 | occ_var   0.130
ILCHO-lin  starlink_phase_2a  UE=100 | ho   4.071 | hof   4.532 | se   2.474 | jfi   0.994 | occ_var   0.143
MD-CHO     starlink_phase_2a  UE=  5 | ho  15.467 | hof   0.000 | se   3.427 | jfi   0.999 | occ_var   0.016
MD-CHO     starlink_phase_2a  UE= 20 | ho  11.811 | hof  32.467 | se   2.956 | jfi   0.975 | occ_var   0.094
MD-CHO     starlink_phase_2a  UE= 40 | ho   4.397 | hof  64.169 | se   2.418 | jfi   0.977 | occ_var   0.173
MD-CHO     starlink_phase_2a  UE= 70 | ho   0.067 | hof  90.116 | se   1.976 | jfi   0.969 | occ_var   0.204
MD-CHO     starlink_phase_2a  UE=100 | ho   0.000 | hof 100.587 | se   1.770 | jfi   0.974 | occ_var   0.150
MVT-CHO    starlink_phase_2a  UE=  5 | ho   6.933 | hof   0.022 | se   3.019 | jfi   0.997 | occ_var   0.009
MVT-CHO    starlink_phase_2a  UE= 20 | ho   6.422 | hof   3.972 | se   2.981 | jfi   0.997 | occ_var   0.079
MVT-CHO    starlink_phase_2a  UE= 40 | ho   5.169 | hof   9.664 | se   2.861 | jfi   0.997 | occ_var   0.153
MVT-CHO    starlink_phase_2a  UE= 70 | ho   3.483 | hof  20.979 | se   2.582 | jfi   0.995 | occ_var   0.195
MVT-CHO    starlink_phase_2a  UE=100 | ho   2.412 | hof  30.552 | se   2.353 | jfi   0.980 | occ_var   0.148
HSNF       starlink_phase_2a  UE=  5 | ho  16.489 | hof   0.022 | se   3.423 | jfi   0.999 | occ_var   0.016
HSNF       starlink_phase_2a  UE= 20 | ho  13.117 | hof   0.022 | se   3.329 | jfi   0.998 | occ_var   0.094
